word,examples,word_audio,word_search
"auffallen, fällt auf, fiel auf, ist aufgefallen","['Mir ist aufgefallen, dass Harriett ganz blass ist.']",auffallen,auffallen
"auffordern, fordert auf, forderte auf, hat aufgefordert","['Sie forderte mich auf, meine Meinung zu sagen.', 'Er fordert sie zum Tanz auf.']",auffordern,auffordern
"die Aufforderung, -en","['Sie erhalten eine Aufforderung, den Betrag bis Juni zu zahlen.']",die Aufforderung,Aufforderung
"aufführen, führt auf, führte auf, hat aufgeführt",['Die Kinder führen zu Weihnachten ein Theaterstück auf.'],aufführen,aufführen
"die Aufgabe, -n","['Hast du deine Hausaufgaben für die Schule schon gemacht?', 'Das ist nicht meine Aufgabe.']",die Aufgabe,Aufgabe
"aufgeben, gibt auf, gab auf, hat aufgegeben","['Ich habe auf der Post ein Paket aufgegeben.', 'Man darf nie aufgeben. Es gibt immer eine Hoffnung.']",aufgeben,aufgeben
"aufhalten, hält auf, hielt auf, hat aufgehalten","['Darf ich Ihnen die Tür aufhalten?', 'Entschuldigen Sie die Verspätung, ich wurde aufgehalten.']",aufhalten,aufhalten
"(sich) aufhalten, hält auf, hielt auf, hat aufgehalten",['Wo hält er sich gerade auf? – In München.'],sich aufhalten,aufhalten
"aufheben, hebt auf, hob auf, hat aufgehoben","['Lassen Sie die Papiere nur auf dem Boden liegen, ich hebe sie schon auf.', 'Die Quittung müssen Sie gut aufheben.']",aufheben,aufheben
"aufhören, hört auf, hörte auf, hat aufgehört","['Es hört nicht auf zu schneien.', 'Wann hört ihr mit der Arbeit auf?', 'Hier hört die Hauptstraße auf.']",aufhören,aufhören
"aufladen, lädt auf, lud auf, hat aufgeladen",['Ich muss mein Telefon aufladen. Die Batterie ist leer.'],aufladen,aufladen
"auflösen, löst auf, löste auf, hat aufgelöst",['Die Tablette bitte in Wasser auflösen.'],auflösen,auflösen
aufmerksam,"['Die Schülerin hörte aufmerksam zu.', 'Ich mache Sie darauf aufmerksam, dass wir in einer halben Stunde schließen.']",aufmerksam,aufmerksam
"aufnehmen, nimmt auf, nahm auf, hat aufgenommen","['Wir haben Aneta in unseren Verein aufgenommen.', 'Ich habe den Film im Urlaub aufgenommen.']",aufnehmen,aufnehmen
"die Aufnahme, -n",['Bitte seid leise! – Ich starte die Aufnahme.'],die Aufnahme,Aufnahme
"(auf etw,jdn) aufpassen, passt auf, passte auf, hat aufgepasst","['Tut mir leid. Da habe ich wohl nicht aufgepasst.', 'Ich muss zu Hause bleiben und auf die Kinder aufpassen.']","(auf etw,jdn) aufpassen, passt auf, passte auf, hat aufgepasst",(auf etw
"aufräumen, räumt auf, räumte auf, hat aufgeräumt",['Vor meinem Urlaub muss ich unbedingt noch meinen Schreibtisch aufräumen.'],aufräumen,aufräumen
"aufregen, regt auf, regte auf, hat aufgeregt","['Es regt mich auf, dass ich schon wieder Überstunden machen muss.', 'Ganz ruhig! Bitte regen Sie sich nicht auf.', 'Heute hast du eine Prüfung. Bist du schon aufgeregt?', 'Die Musikgruppe zu erleben war sehr aufregend.']",aufregen,aufregen
"aufstehen, steht auf, stand auf, ist aufgestanden","['Ich stehe jeden Morgen um sechs Uhr auf.', 'Sie brauchen nicht aufzustehen. Sie können sitzen bleiben.']",aufstehen,aufstehen
"der Auftrag, ¨-e","['Ich komme im Auftrag von Frau Müller und soll Ihnen diesen Brief geben.', 'Im Moment hat die Firma besonders viele Aufträge.']",der Auftrag,Auftrag
"auftreten, tritt auf, trat auf, ist aufgetreten",['Nächste Woche tritt in der Stadthalle eine berühmte Musikgruppe auf.'],auftreten,auftreten
"der Auftritt, -e",['Nach dem Auftritt feiern die Musiker.'],der Auftritt,Auftritt
"aufwachen, wacht auf, wachte auf, ist aufgewacht",['Von dem Lärm bin ich aufgewacht.'],aufwachen,aufwachen
aufwärts,"['Sie müssen gute Schuhe anziehen. Der Weg geht immer aufwärts.', 'In letzter Zeit geht es wieder aufwärts mit der Wirtschaft.']",aufwärts,aufwärts
"der Aufzug, ¨-e (D, A) → Lift",['Im Büro ist leider der Aufzug kaputt.'],der Aufzug,Aufzug
"das Auge, -n",['Meine beiden Kinder haben blaue Augen.'],das Auge,Auge
"der Augenblick, -e","['Ich wollte gerade parken. In dem Augenblick ist ein Wagen aus der Ausfahrt gekommen.', 'Einen Augenblick, bitte!', 'Im Augenblick sind keine Plätze frei.']",der Augenblick,Augenblick
aus,"['Frau Müller geht jeden Morgen um 8 Uhr aus dem Haus.', 'Frau Özgen kommt aus der Türkei.', 'Die Möbel sind noch aus der Zeit um 1900!', 'Ich trage nur Pullover aus reiner Wolle.', 'Wir haben aus Liebe geheiratet.', 'Wann ist der Kurs aus?', 'Ich seh‘ nichts! Das Licht ist aus!']",aus,aus
"die Ausbildung, -en","['Ich habe meine Ausbildung abgeschlossen.', 'Mit deiner guten Ausbildung findest du sicher eine Arbeit.']",die Ausbildung,Ausbildung
ausgebildet,['Für diesen Beruf müssen Sie gut ausgebildet sein.'],ausgebildet,ausgebildet
"ausdrucken, druckt aus, druckte aus, hat ausgedruckt",['Kann ich das auf deinem Drucker ausdrucken?'],ausdrucken,ausdrucken
"der Ausdruck, ¨-e",['Diesen Ausdruck habe ich noch nie gehört.'],der Ausdruck,Ausdruck
"der Ausdruck, -e",['Machen Sie doch bitte einen Ausdruck von der E-Mail.'],der Ausdruck,Ausdruck
auseinander,['Wir wohnen nicht weit auseinander.'],auseinander,auseinander
"die Ausfahrt, -en","['Hier ist eine Ausfahrt, da dürfen Sie nicht parken.', 'Wie weit ist es noch bis zur Ausfahrt Freiburg?']",die Ausfahrt,Ausfahrt
"ausfallen, fällt aus, fiel aus, ist ausgefallen",['Nächste Woche fällt der Kurs aus.'],ausfallen,ausfallen
"der Ausflug, ¨-e",['Am Wochenende machen wir mit Freunden einen Ausflug nach Heidelberg.'],der Ausflug,Ausflug
"ausfüllen, füllt aus, füllte aus, hat ausgefüllt",['Füllen Sie bitte dieses Formular aus!'],ausfüllen,ausfüllen
"die Ausgabe, -n","['Wie hoch sind Ihre Ausgaben in einem Monat?', 'Wo ist die Essensausgabe?', 'In welchem Buch hast du das gelesen? In welcher Ausgabe?']",die Ausgabe,Ausgabe
"der Ausgang, ¨-e",['Wo ist der Ausgang bitte?'],der Ausgang,Ausgang
"ausgeben, gibt aus, gab aus, hat ausgegeben",['Carola gibt viel Geld für ihr Hobby aus.'],ausgeben,ausgeben
"ausgehen, geht aus, ging aus, ist ausgegangen","['Plötzlich ist das Licht ausgegangen.', 'Gehen wir heute Abend aus?', 'Wie ist das Spiel ausgegangen?']",ausgehen,ausgehen
ausgezeichnet,['Essen und Unterkunft waren ausgezeichnet.'],ausgezeichnet,ausgezeichnet
"die Aushilfe, -n",['Wir suchen eine freundliche Aushilfe für unser Geschäft.'],die Aushilfe,Aushilfe
"die Auskunft, ¨-e","['Ich hätte gern eine Auskunft.', 'Die Firma hat eine neue Nummer. Bitte, rufen Sie die Auskunft an.']",die Auskunft,Auskunft
das Ausland,['Wir fahren im Urlaub meistens ins Ausland.'],das Ausland,Ausland
